127.0.0.1 - - [08/Aug/2020:18:14:04 +0630] "GET / HTTP/1.1" 404 751
127.0.0.1 - - [08/Aug/2020:18:14:09 +0630] "GET /LibraryManagementSystem/bookRent.jsp HTTP/1.1" 500 2746
127.0.0.1 - - [08/Aug/2020:18:22:41 +0630] "GET /favicon.ico HTTP/1.1" 404 762
127.0.0.1 - - [08/Aug/2020:18:22:47 +0630] "GET /LibraryManagementSystem/saveStudent.jsp?name=kk&rollno=122&phoneno=233&grade=5 HTTP/1.1" 200 4212
127.0.0.1 - - [08/Aug/2020:18:22:48 +0630] "GET /LibraryManagementSystem/insertStudent.jsp HTTP/1.1" 200 652
127.0.0.1 - - [08/Aug/2020:18:22:51 +0630] "GET /LibraryManagementSystem/saveStudent.jsp?name=kk&rollno=122&phoneno=233&grade=5 HTTP/1.1" 200 4357
127.0.0.1 - - [08/Aug/2020:18:22:51 +0630] "GET /LibraryManagementSystem/css/bootstrap.css HTTP/1.1" 404 800
127.0.0.1 - - [08/Aug/2020:18:22:51 +0630] "GET /LibraryManagementSystem/css/font-awesome.css HTTP/1.1" 404 803
127.0.0.1 - - [08/Aug/2020:18:22:51 +0630] "GET /LibraryManagementSystem/js/jquery.min.js HTTP/1.1" 404 799
127.0.0.1 - - [08/Aug/2020:18:22:51 +0630] "GET /LibraryManagementSystem/css/style.css HTTP/1.1" 404 796
127.0.0.1 - - [08/Aug/2020:18:22:51 +0630] "GET /LibraryManagementSystem/js/bootstrap.min.js HTTP/1.1" 404 802
127.0.0.1 - - [08/Aug/2020:18:22:57 +0630] "GET /LibraryManagementSystem/saveStudent.jsp?name=kk&rollno=122&phoneno=233&grade=5 HTTP/1.1" 200 4502
127.0.0.1 - - [08/Aug/2020:18:22:57 +0630] "GET /LibraryManagementSystem/css/bootstrap.css HTTP/1.1" 404 800
127.0.0.1 - - [08/Aug/2020:18:22:57 +0630] "GET /LibraryManagementSystem/css/style.css HTTP/1.1" 404 796
127.0.0.1 - - [08/Aug/2020:18:22:57 +0630] "GET /LibraryManagementSystem/js/jquery.min.js HTTP/1.1" 404 799
127.0.0.1 - - [08/Aug/2020:18:22:57 +0630] "GET /LibraryManagementSystem/js/bootstrap.min.js HTTP/1.1" 404 802
127.0.0.1 - - [08/Aug/2020:18:22:57 +0630] "GET /LibraryManagementSystem/css/font-awesome.css HTTP/1.1" 404 803
127.0.0.1 - - [08/Aug/2020:18:25:27 +0630] "GET /LibraryManagementSystem/saveStudent.jsp?name=kk&rollno=122&phoneno=233&grade=5 HTTP/1.1" 200 4647
127.0.0.1 - - [08/Aug/2020:18:25:27 +0630] "GET /LibraryManagementSystem/css/bootstrap.css HTTP/1.1" 404 800
127.0.0.1 - - [08/Aug/2020:18:25:27 +0630] "GET /LibraryManagementSystem/css/font-awesome.css HTTP/1.1" 404 803
127.0.0.1 - - [08/Aug/2020:18:25:27 +0630] "GET /LibraryManagementSystem/css/style.css HTTP/1.1" 404 796
